"ID","Status_Name","Historical_Step_Status.Duration","Submission_Historical_Status_StartDate","Submission_Historical_Status_EndDate","Historical_Step_Name","process_end","New","Hiring Manager Slate Decision","Phase 2 Employment Application","Hiring Manager Interview","Offer","Additional Interview","Assessment","Assessment 1","Assessment 2","Background Check","Criminal Check","Evaluation","Pre-Employment Screen","Recruiter Interview","Verification Check","Hire"
3,"PS Passed (Evaluation Passed)",0.000185185,2018-11-14 20:03:00,"43418.836111111108","Evaluation","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000185185,NA,NA,NA,NA
3,"INTERNAL EE - NO PHASE 2",0.000104167,2018-11-14 20:04:00,"43418.836111111108","Phase 2 Employment Application","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Hiring Manager Review Passed",0.000358796,2018-11-14 20:04:00,"43418.836111111108","Hiring Manager Slate Decision","In Process",NA,0.000358796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HM Interview Passed",0.000173611,2018-11-14 20:04:00,"43418.836805555555","Hiring Manager Interview","In Process",NA,NA,NA,0.000173611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Offer to be made",0.006655093,2018-11-14 20:05:00,"43418.843055555553","Offer","In Process",NA,NA,NA,NA,0.006655093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Draft",0.795775463,2018-11-14 20:14:00,"43419.638888888891","Offer","In Process",NA,NA,NA,NA,0.795775463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Approval in Progress",0.203043981,2018-11-15 15:20:00,"43419.842361111114","Offer","In Process",NA,NA,NA,NA,0.203043981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Approved",0.001261574,2018-11-15 20:13:00,"43419.843055555553","Offer","In Process",NA,NA,NA,NA,0.001261574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Extended",0.000115741,2018-11-15 20:14:00,"43419.84375","Offer","In Process",NA,NA,NA,NA,0.000115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Accepted",0.000185185,2018-11-20 20:01:00,"43424.834027777775","Offer","In Process",NA,NA,NA,NA,0.000185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Hired",2.978865741,2018-11-20 20:01:00,"NA","Hire","END",0,0.000358796,0,0.000173611,1.007037037,0,0,0,0,0,0,0.000185185,0,0,0,2.978865741
4,"To be Reviewed",5.939988426,2018-07-12 01:24:00,"43298.998611111114","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Resume Review Qualified",0.016099537,2018-07-17 23:58:00,"43299.01458333333","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Hiring Manager Review Passed",9.26e-05,2018-07-18 00:21:00,"43299.01458333333","Hiring Manager Slate Decision","In Process",NA,9.26e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"INTERNAL EE - NO PHASE 2",0.000219907,2018-07-18 00:21:00,"43299.015277777777","Phase 2 Employment Application","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"HM Interview Passed",0.000127315,2018-07-18 00:22:00,"43299.015277777777","Hiring Manager Interview","In Process",NA,NA,NA,0.000127315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Offer to be made",2.761967593,2018-07-18 00:22:00,"43301.777083333334","Offer","In Process",NA,NA,NA,NA,2.761967593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Draft",0.055046296,2018-07-20 18:39:00,"43301.831944444442","Offer","In Process",NA,NA,NA,NA,0.055046296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Approval in Progress",0.104652778,2018-07-20 19:58:00,"43301.936805555553","Offer","In Process",NA,NA,NA,NA,0.104652778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Approval Rejected",0.019861111,2018-07-20 22:29:00,"43301.956944444442","Offer","In Process",NA,NA,NA,NA,0.019861111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Draft",2.670949074,2018-07-20 22:58:00,"43304.62777777778","Offer","In Process",NA,NA,NA,NA,2.670949074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Approval in Progress",1.123194444,2018-07-23 15:04:00,"43305.750694444447","Offer","In Process",NA,NA,NA,NA,1.123194444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
